value,chindex,chlabel,bini,binlabel,SubjID
-1.853,22,T8,28,False_Alarms_Shape_1,S106
-0.550,23,FC6,28,False_Alarms_Shape_1,S106
-1.096,24,FC2,28,False_Alarms_Shape_1,S106
-1.953,25,F4,28,False_Alarms_Shape_1,S106
-1.708,26,F8,28,False_Alarms_Shape_1,S106
-5.114,27,FP2,28,False_Alarms_Shape_1,S106
-1.895,1,FP1,29,Hits_Shape_2,S106
-1.156,2,Fz,29,Hits_Shape_2,S106
-1.177,3,F3,29,Hits_Shape_2,S106
-2.362,4,F7,29,Hits_Shape_2,S106
-2.009,5,FC5,29,Hits_Shape_2,S106
-0.553,6,FC1,29,Hits_Shape_2,S106
-0.869,7,C3,29,Hits_Shape_2,S106
-3.696,8,T7,29,Hits_Shape_2,S106
-1.078,9,CP5,29,Hits_Shape_2,S106
1.773,10,CP1,29,Hits_Shape_2,S106
5.342,11,Pz,29,Hits_Shape_2,S106
3.972,12,P3,29,Hits_Shape_2,S106
0.049,13,P7,29,Hits_Shape_2,S106
6.537,14,O1,29,Hits_Shape_2,S106
7.688,15,O2,29,Hits_Shape_2,S106
4.978,16,P4,29,Hits_Shape_2,S106
0.796,17,P8,29,Hits_Shape_2,S106
0.489,18,CP6,29,Hits_Shape_2,S106
3.412,19,CP2,29,Hits_Shape_2,S106
1.001,20,CZ,29,Hits_Shape_2,S106
1.163,21,C4,29,Hits_Shape_2,S106
-1.746,22,T8,29,Hits_Shape_2,S106
-0.821,23,FC6,29,Hits_Shape_2,S106
0.504,24,FC2,29,Hits_Shape_2,S106
-1.709,25,F4,29,Hits_Shape_2,S106
-1.558,26,F8,29,Hits_Shape_2,S106
-1.664,27,FP2,29,Hits_Shape_2,S106
-0.930,1,FP1,30,Misses_Shape_2,S106
3.371,2,Fz,30,Misses_Shape_2,S106
4.071,3,F3,30,Misses_Shape_2,S106
0.718,4,F7,30,Misses_Shape_2,S106
1.269,5,FC5,30,Misses_Shape_2,S106
4.322,6,FC1,30,Misses_Shape_2,S106
3.458,7,C3,30,Misses_Shape_2,S106
-1.359,8,T7,30,Misses_Shape_2,S106
0.605,9,CP5,30,Misses_Shape_2,S106
5.002,10,CP1,30,Misses_Shape_2,S106
5.424,11,Pz,30,Misses_Shape_2,S106
4.111,12,P3,30,Misses_Shape_2,S106
1.111,13,P7,30,Misses_Shape_2,S106
4.520,14,O1,30,Misses_Shape_2,S106
5.980,15,O2,30,Misses_Shape_2,S106
5.274,16,P4,30,Misses_Shape_2,S106
2.429,17,P8,30,Misses_Shape_2,S106
2.962,18,CP6,30,Misses_Shape_2,S106
5.200,19,CP2,30,Misses_Shape_2,S106
4.600,20,CZ,30,Misses_Shape_2,S106
4.185,21,C4,30,Misses_Shape_2,S106
1.464,22,T8,30,Misses_Shape_2,S106
1.555,23,FC6,30,Misses_Shape_2,S106
4.174,24,FC2,30,Misses_Shape_2,S106
2.380,25,F4,30,Misses_Shape_2,S106
-0.499,26,F8,30,Misses_Shape_2,S106
-0.756,27,FP2,30,Misses_Shape_2,S106
0.944,1,FP1,31,Correct_Rejections_Shape_2,S106
3.314,2,Fz,31,Correct_Rejections_Shape_2,S106
3.341,3,F3,31,Correct_Rejections_Shape_2,S106
1.418,4,F7,31,Correct_Rejections_Shape_2,S106
2.222,5,FC5,31,Correct_Rejections_Shape_2,S106
4.700,6,FC1,31,Correct_Rejections_Shape_2,S106
3.882,7,C3,31,Correct_Rejections_Shape_2,S106
-0.728,8,T7,31,Correct_Rejections_Shape_2,S106
2.226,9,CP5,31,Correct_Rejections_Shape_2,S106
6.249,10,CP1,31,Correct_Rejections_Shape_2,S106
9.549,11,Pz,31,Correct_Rejections_Shape_2,S106
7.629,12,P3,31,Correct_Rejections_Shape_2,S106
3.048,13,P7,31,Correct_Rejections_Shape_2,S106
7.872,14,O1,31,Correct_Rejections_Shape_2,S106
9.339,15,O2,31,Correct_Rejections_Shape_2,S106
7.415,16,P4,31,Correct_Rejections_Shape_2,S106
3.062,17,P8,31,Correct_Rejections_Shape_2,S106
3.546,18,CP6,31,Correct_Rejections_Shape_2,S106
7.093,19,CP2,31,Correct_Rejections_Shape_2,S106
6.343,20,CZ,31,Correct_Rejections_Shape_2,S106
4.216,21,C4,31,Correct_Rejections_Shape_2,S106
0.838,22,T8,31,Correct_Rejections_Shape_2,S106
1.901,23,FC6,31,Correct_Rejections_Shape_2,S106
4.332,24,FC2,31,Correct_Rejections_Shape_2,S106
1.939,25,F4,31,Correct_Rejections_Shape_2,S106
1.844,26,F8,31,Correct_Rejections_Shape_2,S106
1.500,27,FP2,31,Correct_Rejections_Shape_2,S106
-1.190,1,FP1,32,False_Alarms_Shape_2,S106
2.994,2,Fz,32,False_Alarms_Shape_2,S106
-0.780,3,F3,32,False_Alarms_Shape_2,S106
-1.810,4,F7,32,False_Alarms_Shape_2,S106
-2.720,5,FC5,32,False_Alarms_Shape_2,S106
-0.601,6,FC1,32,False_Alarms_Shape_2,S106
-2.748,7,C3,32,False_Alarms_Shape_2,S106
-3.277,8,T7,32,False_Alarms_Shape_2,S106
-2.538,9,CP5,32,False_Alarms_Shape_2,S106
0.665,10,CP1,32,False_Alarms_Shape_2,S106
3.623,11,Pz,32,False_Alarms_Shape_2,S106
3.402,12,P3,32,False_Alarms_Shape_2,S106
-0.893,13,P7,32,False_Alarms_Shape_2,S106
5.993,14,O1,32,False_Alarms_Shape_2,S106
7.839,15,O2,32,False_Alarms_Shape_2,S106
5.681,16,P4,32,False_Alarms_Shape_2,S106
2.752,17,P8,32,False_Alarms_Shape_2,S106
