       value	     chindex	     chlabel	        bini	                     binlabel	         ERPset
      -2.628	          22	          T8	          35	   Correct_Rejections_Shape_3	S137_vsl_dprime
      -1.474	          23	         FC6	          35	   Correct_Rejections_Shape_3	S137_vsl_dprime
      -3.805	          24	         FC2	          35	   Correct_Rejections_Shape_3	S137_vsl_dprime
      -3.036	          25	          F4	          35	   Correct_Rejections_Shape_3	S137_vsl_dprime
      -2.851	          26	          F8	          35	   Correct_Rejections_Shape_3	S137_vsl_dprime
      -1.890	          27	         FP2	          35	   Correct_Rejections_Shape_3	S137_vsl_dprime
      -5.973	           1	         FP1	          36	         False_Alarms_Shape_3	S137_vsl_dprime
      -5.314	           2	          Fz	          36	         False_Alarms_Shape_3	S137_vsl_dprime
      -6.142	           3	          F3	          36	         False_Alarms_Shape_3	S137_vsl_dprime
      -5.012	           4	          F7	          36	         False_Alarms_Shape_3	S137_vsl_dprime
      -4.585	           5	         FC5	          36	         False_Alarms_Shape_3	S137_vsl_dprime
      -5.284	           6	         FC1	          36	         False_Alarms_Shape_3	S137_vsl_dprime
      -4.420	           7	          C3	          36	         False_Alarms_Shape_3	S137_vsl_dprime
      -4.892	           8	          T7	          36	         False_Alarms_Shape_3	S137_vsl_dprime
      -2.051	           9	         CP5	          36	         False_Alarms_Shape_3	S137_vsl_dprime
      -3.691	          10	         CP1	          36	         False_Alarms_Shape_3	S137_vsl_dprime
      -3.988	          11	          Pz	          36	         False_Alarms_Shape_3	S137_vsl_dprime
      -2.489	          12	          P3	          36	         False_Alarms_Shape_3	S137_vsl_dprime
      -1.606	          13	          P7	          36	         False_Alarms_Shape_3	S137_vsl_dprime
       1.094	          14	          O1	          36	         False_Alarms_Shape_3	S137_vsl_dprime
       1.011	          15	          O2	          36	         False_Alarms_Shape_3	S137_vsl_dprime
      -1.382	          16	          P4	          36	         False_Alarms_Shape_3	S137_vsl_dprime
       0.541	          17	          P8	          36	         False_Alarms_Shape_3	S137_vsl_dprime
      -0.142	          18	         CP6	          36	         False_Alarms_Shape_3	S137_vsl_dprime
      -4.159	          19	         CP2	          36	         False_Alarms_Shape_3	S137_vsl_dprime
      -5.278	          20	          CZ	          36	         False_Alarms_Shape_3	S137_vsl_dprime
      -2.787	          21	          C4	          36	         False_Alarms_Shape_3	S137_vsl_dprime
      -1.017	          22	          T8	          36	         False_Alarms_Shape_3	S137_vsl_dprime
      -3.863	          23	         FC6	          36	         False_Alarms_Shape_3	S137_vsl_dprime
      -3.686	          24	         FC2	          36	         False_Alarms_Shape_3	S137_vsl_dprime
      -4.275	          25	          F4	          36	         False_Alarms_Shape_3	S137_vsl_dprime
