value,chindex,chlabel,bini,binlabel,SubjID
-11.312,1,FP1,25,Hits Shape_1,S106
-9.229,2,Fz,25,Hits Shape_1,S106
-6.746,3,F3,25,Hits Shape_1,S106
-5.615,4,F7,25,Hits Shape_1,S106
-1.952,5,FC5,25,Hits Shape_1,S106
-5.114,6,FC1,25,Hits Shape_1,S106
0.822,7,C3,25,Hits Shape_1,S106
1.255,8,T7,25,Hits Shape_1,S106
4.540,9,CP5,25,Hits Shape_1,S106
0.852,10,CP1,25,Hits Shape_1,S106
1.960,11,Pz,25,Hits Shape_1,S106
4.819,12,P3,25,Hits Shape_1,S106
7.326,13,P7,25,Hits Shape_1,S106
6.022,14,O1,25,Hits Shape_1,S106
4.906,15,O2,25,Hits Shape_1,S106
1.002,16,P4,25,Hits Shape_1,S106
2.314,17,P8,25,Hits Shape_1,S106
-2.449,18,CP6,25,Hits Shape_1,S106
-1.526,19,CP2,25,Hits Shape_1,S106
-4.146,20,CZ,25,Hits Shape_1,S106
-4.685,21,C4,25,Hits Shape_1,S106
-6.259,22,T8,25,Hits Shape_1,S106
-8.335,23,FC6,25,Hits Shape_1,S106
-6.979,24,FC2,25,Hits Shape_1,S106
-9.212,25,F4,25,Hits Shape_1,S106
-10.027,26,F8,25,Hits Shape_1,S106
-12.742,27,FP2,25,Hits Shape_1,S106
-2.787,1,FP1,26,Misses Shape_1,S106
2.627,2,Fz,26,Misses Shape_1,S106
0.509,3,F3,26,Misses Shape_1,S106
-1.368,4,F7,26,Misses Shape_1,S106
5.802,5,FC5,26,Misses Shape_1,S106
4.253,6,FC1,26,Misses Shape_1,S106
8.140,7,C3,26,Misses Shape_1,S106
5.909,8,T7,26,Misses Shape_1,S106
11.481,9,CP5,26,Misses Shape_1,S106
12.039,10,CP1,26,Misses Shape_1,S106
12.606,11,Pz,26,Misses Shape_1,S106
15.098,12,P3,26,Misses Shape_1,S106
12.201,13,P7,26,Misses Shape_1,S106
13.154,14,O1,26,Misses Shape_1,S106
10.419,15,O2,26,Misses Shape_1,S106
10.277,16,P4,26,Misses Shape_1,S106
6.151,17,P8,26,Misses Shape_1,S106
5.138,18,CP6,26,Misses Shape_1,S106
9.153,19,CP2,26,Misses Shape_1,S106
8.624,20,CZ,26,Misses Shape_1,S106
7.045,21,C4,26,Misses Shape_1,S106
-1.541,22,T8,26,Misses Shape_1,S106
2.414,23,FC6,26,Misses Shape_1,S106
5.090,24,FC2,26,Misses Shape_1,S106
3.064,25,F4,26,Misses Shape_1,S106
0.244,26,F8,26,Misses Shape_1,S106
0.626,27,FP2,26,Misses Shape_1,S106
4.770,1,FP1,27,Correct Rejections Shape_1,S106
6.076,2,Fz,27,Correct Rejections Shape_1,S106
6.220,3,F3,27,Correct Rejections Shape_1,S106
4.655,4,F7,27,Correct Rejections Shape_1,S106
6.508,5,FC5,27,Correct Rejections Shape_1,S106
7.964,6,FC1,27,Correct Rejections Shape_1,S106
10.114,7,C3,27,Correct Rejections Shape_1,S106
6.074,8,T7,27,Correct Rejections Shape_1,S106
8.885,9,CP5,27,Correct Rejections Shape_1,S106
10.814,10,CP1,27,Correct Rejections Shape_1,S106
6.594,11,Pz,27,Correct Rejections Shape_1,S106
9.254,12,P3,27,Correct Rejections Shape_1,S106
5.534,13,P7,27,Correct Rejections Shape_1,S106
4.389,14,O1,27,Correct Rejections Shape_1,S106
5.446,15,O2,27,Correct Rejections Shape_1,S106
9.713,16,P4,27,Correct Rejections Shape_1,S106
4.730,17,P8,27,Correct Rejections Shape_1,S106
8.106,18,CP6,27,Correct Rejections Shape_1,S106
10.871,19,CP2,27,Correct Rejections Shape_1,S106
8.762,20,CZ,27,Correct Rejections Shape_1,S106
9.018,21,C4,27,Correct Rejections Shape_1,S106
3.234,22,T8,27,Correct Rejections Shape_1,S106
5.038,23,FC6,27,Correct Rejections Shape_1,S106
7.596,24,FC2,27,Correct Rejections Shape_1,S106
4.464,25,F4,27,Correct Rejections Shape_1,S106
4.088,26,F8,27,Correct Rejections Shape_1,S106
4.825,27,FP2,27,Correct Rejections Shape_1,S106
-14.883,1,FP1,28,False Alarms Shape_1,S106
3.654,2,Fz,28,False Alarms Shape_1,S106
3.938,3,F3,28,False Alarms Shape_1,S106
0.831,4,F7,28,False Alarms Shape_1,S106
6.147,5,FC5,28,False Alarms Shape_1,S106
9.125,6,FC1,28,False Alarms Shape_1,S106
10.946,7,C3,28,False Alarms Shape_1,S106
4.022,8,T7,28,False Alarms Shape_1,S106
7.376,9,CP5,28,False Alarms Shape_1,S106
10.071,10,CP1,28,False Alarms Shape_1,S106
8.473,11,Pz,28,False Alarms Shape_1,S106
8.662,12,P3,28,False Alarms Shape_1,S106
5.821,13,P7,28,False Alarms Shape_1,S106
7.637,14,O1,28,False Alarms Shape_1,S106
