value,chindex,chlabel,bini,binlabel,SubjID
-9.602,1,FP1,25,Hits_Shape_1,S106
-9.224,2,Fz,25,Hits_Shape_1,S106
-7.432,3,F3,25,Hits_Shape_1,S106
-4.376,4,F7,25,Hits_Shape_1,S106
-3.168,5,FC5,25,Hits_Shape_1,S106
-7.267,6,FC1,25,Hits_Shape_1,S106
-3.518,7,C3,25,Hits_Shape_1,S106
-1.464,8,T7,25,Hits_Shape_1,S106
-0.464,9,CP5,25,Hits_Shape_1,S106
-4.543,10,CP1,25,Hits_Shape_1,S106
-3.676,11,Pz,25,Hits_Shape_1,S106
-0.083,12,P3,25,Hits_Shape_1,S106
3.404,13,P7,25,Hits_Shape_1,S106
6.290,14,O1,25,Hits_Shape_1,S106
5.699,15,O2,25,Hits_Shape_1,S106
-2.080,16,P4,25,Hits_Shape_1,S106
0.761,17,P8,25,Hits_Shape_1,S106
-4.148,18,CP6,25,Hits_Shape_1,S106
-5.417,19,CP2,25,Hits_Shape_1,S106
-7.557,20,CZ,25,Hits_Shape_1,S106
-5.849,21,C4,25,Hits_Shape_1,S106
-5.031,22,T8,25,Hits_Shape_1,S106
-7.362,23,FC6,25,Hits_Shape_1,S106
-7.652,24,FC2,25,Hits_Shape_1,S106
-9.333,25,F4,25,Hits_Shape_1,S106
-7.831,26,F8,25,Hits_Shape_1,S106
-11.141,27,FP2,25,Hits_Shape_1,S106
-3.715,1,FP1,26,Misses_Shape_1,S106
-2.684,2,Fz,26,Misses_Shape_1,S106
-2.004,3,F3,26,Misses_Shape_1,S106
-0.949,4,F7,26,Misses_Shape_1,S106
1.415,5,FC5,26,Misses_Shape_1,S106
-2.468,6,FC1,26,Misses_Shape_1,S106
1.010,7,C3,26,Misses_Shape_1,S106
0.599,8,T7,26,Misses_Shape_1,S106
3.291,9,CP5,26,Misses_Shape_1,S106
-0.175,10,CP1,26,Misses_Shape_1,S106
1.177,11,Pz,26,Misses_Shape_1,S106
4.185,12,P3,26,Misses_Shape_1,S106
6.441,13,P7,26,Misses_Shape_1,S106
7.416,14,O1,26,Misses_Shape_1,S106
5.635,15,O2,26,Misses_Shape_1,S106
2.545,16,P4,26,Misses_Shape_1,S106
2.277,17,P8,26,Misses_Shape_1,S106
-0.285,18,CP6,26,Misses_Shape_1,S106
0.150,19,CP2,26,Misses_Shape_1,S106
-2.262,20,CZ,26,Misses_Shape_1,S106
-0.248,21,C4,26,Misses_Shape_1,S106
-2.194,22,T8,26,Misses_Shape_1,S106
-0.452,23,FC6,26,Misses_Shape_1,S106
-1.056,24,FC2,26,Misses_Shape_1,S106
-0.909,25,F4,26,Misses_Shape_1,S106
-0.403,26,F8,26,Misses_Shape_1,S106
-2.296,27,FP2,26,Misses_Shape_1,S106
0.494,1,FP1,27,Correct_Rejections_Shape_1,S106
-0.038,2,Fz,27,Correct_Rejections_Shape_1,S106
2.971,3,F3,27,Correct_Rejections_Shape_1,S106
3.584,4,F7,27,Correct_Rejections_Shape_1,S106
5.046,5,FC5,27,Correct_Rejections_Shape_1,S106
1.739,6,FC1,27,Correct_Rejections_Shape_1,S106
3.651,7,C3,27,Correct_Rejections_Shape_1,S106
3.623,8,T7,27,Correct_Rejections_Shape_1,S106
3.382,9,CP5,27,Correct_Rejections_Shape_1,S106
1.570,10,CP1,27,Correct_Rejections_Shape_1,S106
0.370,11,Pz,27,Correct_Rejections_Shape_1,S106
3.049,12,P3,27,Correct_Rejections_Shape_1,S106
3.393,13,P7,27,Correct_Rejections_Shape_1,S106
3.908,14,O1,27,Correct_Rejections_Shape_1,S106
3.381,15,O2,27,Correct_Rejections_Shape_1,S106
2.730,16,P4,27,Correct_Rejections_Shape_1,S106
0.505,17,P8,27,Correct_Rejections_Shape_1,S106
2.523,18,CP6,27,Correct_Rejections_Shape_1,S106
2.455,19,CP2,27,Correct_Rejections_Shape_1,S106
0.478,20,CZ,27,Correct_Rejections_Shape_1,S106
3.266,21,C4,27,Correct_Rejections_Shape_1,S106
0.803,22,T8,27,Correct_Rejections_Shape_1,S106
2.115,23,FC6,27,Correct_Rejections_Shape_1,S106
1.301,24,FC2,27,Correct_Rejections_Shape_1,S106
0.827,25,F4,27,Correct_Rejections_Shape_1,S106
1.074,26,F8,27,Correct_Rejections_Shape_1,S106
0.315,27,FP2,27,Correct_Rejections_Shape_1,S106
-11.344,1,FP1,28,False_Alarms_Shape_1,S106
-5.826,2,Fz,28,False_Alarms_Shape_1,S106
-1.501,3,F3,28,False_Alarms_Shape_1,S106
-0.394,4,F7,28,False_Alarms_Shape_1,S106
1.571,5,FC5,28,False_Alarms_Shape_1,S106
-1.989,6,FC1,28,False_Alarms_Shape_1,S106
2.541,7,C3,28,False_Alarms_Shape_1,S106
2.016,8,T7,28,False_Alarms_Shape_1,S106
6.326,9,CP5,28,False_Alarms_Shape_1,S106
0.679,10,CP1,28,False_Alarms_Shape_1,S106
0.418,11,Pz,28,False_Alarms_Shape_1,S106
7.059,12,P3,28,False_Alarms_Shape_1,S106
11.228,13,P7,28,False_Alarms_Shape_1,S106
9.919,14,O1,28,False_Alarms_Shape_1,S106
5.913,15,O2,28,False_Alarms_Shape_1,S106
1.641,16,P4,28,False_Alarms_Shape_1,S106
1.500,17,P8,28,False_Alarms_Shape_1,S106
-0.307,18,CP6,28,False_Alarms_Shape_1,S106
0.315,19,CP2,28,False_Alarms_Shape_1,S106
-1.268,20,CZ,28,False_Alarms_Shape_1,S106
-1.444,21,C4,28,False_Alarms_Shape_1,S106
-2.140,22,T8,28,False_Alarms_Shape_1,S106
-1.217,23,FC6,28,False_Alarms_Shape_1,S106
-2.557,24,FC2,28,False_Alarms_Shape_1,S106
-2.959,25,F4,28,False_Alarms_Shape_1,S106
-2.117,26,F8,28,False_Alarms_Shape_1,S106
-7.043,27,FP2,28,False_Alarms_Shape_1,S106
0.278,1,FP1,29,Hits_Shape_2,S106
2.096,2,Fz,29,Hits_Shape_2,S106
2.747,3,F3,29,Hits_Shape_2,S106
0.511,4,F7,29,Hits_Shape_2,S106
2.124,5,FC5,29,Hits_Shape_2,S106
3.390,6,FC1,29,Hits_Shape_2,S106
3.400,7,C3,29,Hits_Shape_2,S106
-0.996,8,T7,29,Hits_Shape_2,S106
1.762,9,CP5,29,Hits_Shape_2,S106
4.401,10,CP1,29,Hits_Shape_2,S106
4.700,11,Pz,29,Hits_Shape_2,S106
4.114,12,P3,29,Hits_Shape_2,S106
1.772,13,P7,29,Hits_Shape_2,S106
3.795,14,O1,29,Hits_Shape_2,S106
3.982,15,O2,29,Hits_Shape_2,S106
4.836,16,P4,29,Hits_Shape_2,S106
0.962,17,P8,29,Hits_Shape_2,S106
2.318,18,CP6,29,Hits_Shape_2,S106
5.520,19,CP2,29,Hits_Shape_2,S106
4.029,20,CZ,29,Hits_Shape_2,S106
4.421,21,C4,29,Hits_Shape_2,S106
-0.852,22,T8,29,Hits_Shape_2,S106
