       value	     chindex	     chlabel	        bini	                     binlabel	         ERPset
      -9.602	           1	         FP1	          25	                 Hits_Shape_1	S106_vsl_dprime
      -9.224	           2	          Fz	          25	                 Hits_Shape_1	S106_vsl_dprime
      -7.432	           3	          F3	          25	                 Hits_Shape_1	S106_vsl_dprime
      -4.376	           4	          F7	          25	                 Hits_Shape_1	S106_vsl_dprime
      -3.168	           5	         FC5	          25	                 Hits_Shape_1	S106_vsl_dprime
      -7.267	           6	         FC1	          25	                 Hits_Shape_1	S106_vsl_dprime
      -3.518	           7	          C3	          25	                 Hits_Shape_1	S106_vsl_dprime
      -1.464	           8	          T7	          25	                 Hits_Shape_1	S106_vsl_dprime
      -0.464	           9	         CP5	          25	                 Hits_Shape_1	S106_vsl_dprime
      -4.543	          10	         CP1	          25	                 Hits_Shape_1	S106_vsl_dprime
      -3.676	          11	          Pz	          25	                 Hits_Shape_1	S106_vsl_dprime
      -0.083	          12	          P3	          25	                 Hits_Shape_1	S106_vsl_dprime
       3.404	          13	          P7	          25	                 Hits_Shape_1	S106_vsl_dprime
       6.290	          14	          O1	          25	                 Hits_Shape_1	S106_vsl_dprime
       5.699	          15	          O2	          25	                 Hits_Shape_1	S106_vsl_dprime
      -2.080	          16	          P4	          25	                 Hits_Shape_1	S106_vsl_dprime
       0.761	          17	          P8	          25	                 Hits_Shape_1	S106_vsl_dprime
      -4.148	          18	         CP6	          25	                 Hits_Shape_1	S106_vsl_dprime
      -5.417	          19	         CP2	          25	                 Hits_Shape_1	S106_vsl_dprime
      -7.557	          20	          CZ	          25	                 Hits_Shape_1	S106_vsl_dprime
      -5.849	          21	          C4	          25	                 Hits_Shape_1	S106_vsl_dprime
      -5.031	          22	          T8	          25	                 Hits_Shape_1	S106_vsl_dprime
      -7.362	          23	         FC6	          25	                 Hits_Shape_1	S106_vsl_dprime
      -7.652	          24	         FC2	          25	                 Hits_Shape_1	S106_vsl_dprime
      -9.333	          25	          F4	          25	                 Hits_Shape_1	S106_vsl_dprime
      -7.831	          26	          F8	          25	                 Hits_Shape_1	S106_vsl_dprime
     -11.141	          27	         FP2	          25	                 Hits_Shape_1	S106_vsl_dprime
      -3.715	           1	         FP1	          26	               Misses_Shape_1	S106_vsl_dprime
      -2.684	           2	          Fz	          26	               Misses_Shape_1	S106_vsl_dprime
      -2.004	           3	          F3	          26	               Misses_Shape_1	S106_vsl_dprime
      -0.949	           4	          F7	          26	               Misses_Shape_1	S106_vsl_dprime
       1.415	           5	         FC5	          26	               Misses_Shape_1	S106_vsl_dprime
      -2.468	           6	         FC1	          26	               Misses_Shape_1	S106_vsl_dprime
