SubjID,bin1,bin2,bin3,bin4,bin5,bin6,bin7,bin8,bin9,bin10,bin11,bin12,bin13,bin14,bin15,bin16,bin17,bin18,bin19,bin20,bin21,bin22,bin23,bin24,hits,misses,correctRejections,falseAlarms,totalTrials,hit_rate,fa_rate,hit_rate_z,fa_rate_z,d_prime_raw,d_prime,sensitivity
S130,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,16,16,16,16,32,0.5,0.5,-0.47729240120341915,0.4772924012034187,0,-0.9545848024068379,Insensitive
S131,8,7,8,7,8,7,8,7,8,7,8,7,11,5,11,5,11,5,11,5,11,5,11,5,19,12,19,12,31,0.6129032258064516,0.3870967741935484,0.36656842618162355,-0.36656842618162394,0.22580645161290325,0.7331368523632475,Insensitive
S132,8,8,8,8,8,8,8,8,8,8,8,8,10,6,10,6,10,6,10,6,10,6,10,6,18,14,18,14,32,0.5625,0.4375,-0.01015515747241342,0.010155157472413006,0.125,-0.02031031494482643,Insensitive
S133,6,10,6,10,6,10,6,10,6,10,6,10,9,7,9,7,9,7,9,7,9,7,9,7,15,17,15,17,32,0.46875,0.53125,-0.710861023068922,0.7108610230689216,-0.0625,-1.4217220461378437,Reversed
S134,10,6,10,6,10,6,10,6,10,6,10,6,8,7,8,7,8,7,8,7,8,7,8,7,18,13,18,13,31,0.5806451612903226,0.41935483870967744,0.12546533264304013,-0.12546533264304013,0.16129032258064518,0.25093066528608027,Insensitive
S135,6,10,6,10,6,10,6,10,6,10,6,10,7,9,7,9,7,9,7,9,7,9,7,9,13,19,13,19,32,0.40625,0.59375,-1.1779982667999278,1.1779982667999274,-0.1875,-2.355996533599855,Reversed
S137,7,8,7,8,7,8,7,8,7,8,7,8,8,8,8,8,8,8,8,8,8,8,8,8,15,16,15,16,31,0.4838709677419355,0.5161290322580645,-0.5978439479727108,0.5978439479727105,-0.032258064516129004,-1.1956878959454214,Reversed
S138,10,6,10,6,10,6,10,6,10,6,10,6,9,7,9,7,9,7,9,7,9,7,9,7,19,13,19,13,32,0.59375,0.40625,0.22341346439308943,-0.22341346439308984,0.1875,0.44682692878617924,Insensitive
S139,9,7,9,7,9,7,9,7,9,7,9,7,10,6,10,6,10,6,10,6,10,6,10,6,19,13,19,13,32,0.59375,0.40625,0.22341346439308943,-0.22341346439308984,0.1875,0.44682692878617924,Insensitive
S140,6,10,6,10,6,10,6,10,6,10,6,10,8,8,8,8,8,8,8,8,8,8,8,8,14,18,14,18,32,0.4375,0.5625,-0.9444296449344248,0.9444296449344244,-0.125,-1.8888592898688492,Reversed
S144,8,8,8,8,8,8,8,8,8,8,8,8,7,9,7,9,7,9,7,9,7,9,7,9,15,17,15,17,32,0.46875,0.53125,-0.710861023068922,0.7108610230689216,-0.0625,-1.4217220461378437,Reversed
S145,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,16,16,16,16,32,0.5,0.5,-0.47729240120341915,0.4772924012034187,0,-0.9545848024068379,Insensitive
S146,5,11,5,11,5,11,5,11,5,11,5,11,8,7,8,7,8,7,8,7,8,7,8,7,13,18,13,18,31,0.41935483870967744,0.5806451612903226,-1.080050135049878,1.080050135049878,-0.16129032258064518,-2.160100270099756,Reversed
S150,11,5,11,5,11,5,11,5,11,5,11,5,10,6,10,6,10,6,10,6,10,6,10,6,21,11,21,11,32,0.65625,0.34375,0.6905507081240951,-0.6905507081240956,0.3125,1.3811014162481907,Sensitive
S152,10,6,10,6,10,6,10,6,10,6,10,6,9,7,9,7,9,7,9,7,9,7,9,7,19,13,19,13,32,0.59375,0.40625,0.22341346439308943,-0.22341346439308984,0.1875,0.44682692878617924,Insensitive
S155,9,6,9,6,9,6,9,6,9,6,9,6,8,8,8,8,8,8,8,8,8,8,8,8,17,14,17,14,31,0.5483870967741935,0.45161290322580644,-0.11563776089554406,0.11563776089554323,0.09677419354838707,-0.2312755217910873,Insensitive
S156,9,6,9,6,9,6,9,6,9,6,9,6,7,9,7,9,7,9,7,9,7,9,7,9,16,15,16,15,31,0.5161290322580645,0.4838709677419355,-0.35674085443412745,0.356740854434127,0.032258064516129004,-0.7134817088682545,Insensitive
S157,7,9,7,9,7,9,7,9,7,9,7,9,5,11,5,11,5,11,5,11,5,11,5,11,12,20,12,20,32,0.375,0.625,-1.4115668886654305,1.4115668886654302,-0.25,-2.8231337773308605,Reversed
S158,8,8,8,8,8,8,8,8,8,8,8,8,9,7,9,7,9,7,9,7,9,7,9,7,17,15,17,15,32,0.53125,0.46875,-0.24372377933791628,0.24372377933791586,0.0625,-0.4874475586758321,Insensitive
S159,7,9,7,9,7,9,7,9,7,9,7,9,4,12,4,12,4,12,4,12,4,12,4,12,11,21,11,21,32,0.34375,0.65625,-1.6451355105309333,1.645135510530933,-0.3125,-3.2902710210618666,Reversed
S160,4,12,4,12,4,12,4,12,4,12,4,12,7,9,7,9,7,9,7,9,7,9,7,9,11,21,11,21,32,0.34375,0.65625,-1.6451355105309333,1.645135510530933,-0.3125,-3.2902710210618666,Reversed
S171,12,4,12,4,12,4,12,4,12,4,12,4,9,7,9,7,9,7,9,7,9,7,9,7,21,11,21,11,32,0.65625,0.34375,0.6905507081240951,-0.6905507081240956,0.3125,1.3811014162481907,Sensitive
S172,5,11,5,11,5,11,5,11,5,11,5,11,4,12,4,12,4,12,4,12,4,12,4,12,9,23,9,23,32,0.28125,0.71875,-2.112272754261939,2.1122727542619386,-0.4375,-4.224545508523878,Reversed
