       value	     chindex	     chlabel	        bini	                     binlabel	         ERPset
     -11.312	           1	         FP1	          25	                 Hits_Shape_1	S106_vsl_dprime
      -9.229	           2	          Fz	          25	                 Hits_Shape_1	S106_vsl_dprime
      -6.746	           3	          F3	          25	                 Hits_Shape_1	S106_vsl_dprime
      -5.615	           4	          F7	          25	                 Hits_Shape_1	S106_vsl_dprime
      -1.952	           5	         FC5	          25	                 Hits_Shape_1	S106_vsl_dprime
      -5.114	           6	         FC1	          25	                 Hits_Shape_1	S106_vsl_dprime
       0.822	           7	          C3	          25	                 Hits_Shape_1	S106_vsl_dprime
       1.255	           8	          T7	          25	                 Hits_Shape_1	S106_vsl_dprime
       4.540	           9	         CP5	          25	                 Hits_Shape_1	S106_vsl_dprime
       0.852	          10	         CP1	          25	                 Hits_Shape_1	S106_vsl_dprime
       1.960	          11	          Pz	          25	                 Hits_Shape_1	S106_vsl_dprime
       4.819	          12	          P3	          25	                 Hits_Shape_1	S106_vsl_dprime
       7.326	          13	          P7	          25	                 Hits_Shape_1	S106_vsl_dprime
       6.022	          14	          O1	          25	                 Hits_Shape_1	S106_vsl_dprime
       4.906	          15	          O2	          25	                 Hits_Shape_1	S106_vsl_dprime
       1.002	          16	          P4	          25	                 Hits_Shape_1	S106_vsl_dprime
       2.314	          17	          P8	          25	                 Hits_Shape_1	S106_vsl_dprime
      -2.449	          18	         CP6	          25	                 Hits_Shape_1	S106_vsl_dprime
      -1.526	          19	         CP2	          25	                 Hits_Shape_1	S106_vsl_dprime
      -4.146	          20	          CZ	          25	                 Hits_Shape_1	S106_vsl_dprime
      -4.685	          21	          C4	          25	                 Hits_Shape_1	S106_vsl_dprime
      -6.259	          22	          T8	          25	                 Hits_Shape_1	S106_vsl_dprime
      -8.335	          23	         FC6	          25	                 Hits_Shape_1	S106_vsl_dprime
      -6.979	          24	         FC2	          25	                 Hits_Shape_1	S106_vsl_dprime
      -9.212	          25	          F4	          25	                 Hits_Shape_1	S106_vsl_dprime
     -10.027	          26	          F8	          25	                 Hits_Shape_1	S106_vsl_dprime
     -12.742	          27	         FP2	          25	                 Hits_Shape_1	S106_vsl_dprime
      -2.787	           1	         FP1	          26	               Misses_Shape_1	S106_vsl_dprime
       2.627	           2	          Fz	          26	               Misses_Shape_1	S106_vsl_dprime
       0.509	           3	          F3	          26	               Misses_Shape_1	S106_vsl_dprime
      -1.368	           4	          F7	          26	               Misses_Shape_1	S106_vsl_dprime
       5.802	           5	         FC5	          26	               Misses_Shape_1	S106_vsl_dprime
       4.253	           6	         FC1	          26	               Misses_Shape_1	S106_vsl_dprime
       8.140	           7	          C3	          26	               Misses_Shape_1	S106_vsl_dprime
       5.909	           8	          T7	          26	               Misses_Shape_1	S106_vsl_dprime
      11.481	           9	         CP5	          26	               Misses_Shape_1	S106_vsl_dprime
      12.039	          10	         CP1	          26	               Misses_Shape_1	S106_vsl_dprime
      12.606	          11	          Pz	          26	               Misses_Shape_1	S106_vsl_dprime
      15.098	          12	          P3	          26	               Misses_Shape_1	S106_vsl_dprime
      12.201	          13	          P7	          26	               Misses_Shape_1	S106_vsl_dprime
      13.154	          14	          O1	          26	               Misses_Shape_1	S106_vsl_dprime
      10.419	          15	          O2	          26	               Misses_Shape_1	S106_vsl_dprime
      10.277	          16	          P4	          26	               Misses_Shape_1	S106_vsl_dprime
       6.151	          17	          P8	          26	               Misses_Shape_1	S106_vsl_dprime
       5.138	          18	         CP6	          26	               Misses_Shape_1	S106_vsl_dprime
       9.153	          19	         CP2	          26	               Misses_Shape_1	S106_vsl_dprime
       8.624	          20	          CZ	          26	               Misses_Shape_1	S106_vsl_dprime
       7.045	          21	          C4	          26	               Misses_Shape_1	S106_vsl_dprime
      -1.541	          22	          T8	          26	               Misses_Shape_1	S106_vsl_dprime
       2.414	          23	         FC6	          26	               Misses_Shape_1	S106_vsl_dprime
       5.090	          24	         FC2	          26	               Misses_Shape_1	S106_vsl_dprime
       3.064	          25	          F4	          26	               Misses_Shape_1	S106_vsl_dprime
       0.244	          26	          F8	          26	               Misses_Shape_1	S106_vsl_dprime
       0.626	          27	         FP2	          26	               Misses_Shape_1	S106_vsl_dprime
       4.770	           1	         FP1	          27	   Correct_Rejections_Shape_1	S106_vsl_dprime
       6.076	           2	          Fz	          27	   Correct_Rejections_Shape_1	S106_vsl_dprime
       6.220	           3	          F3	          27	   Correct_Rejections_Shape_1	S106_vsl_dprime
       4.655	           4	          F7	          27	   Correct_Rejections_Shape_1	S106_vsl_dprime
       6.508	           5	         FC5	          27	   Correct_Rejections_Shape_1	S106_vsl_dprime
       7.964	           6	         FC1	          27	   Correct_Rejections_Shape_1	S106_vsl_dprime
      10.114	           7	          C3	          27	   Correct_Rejections_Shape_1	S106_vsl_dprime
       6.074	           8	          T7	          27	   Correct_Rejections_Shape_1	S106_vsl_dprime
       8.885	           9	         CP5	          27	   Correct_Rejections_Shape_1	S106_vsl_dprime
      10.814	          10	         CP1	          27	   Correct_Rejections_Shape_1	S106_vsl_dprime
       6.594	          11	          Pz	          27	   Correct_Rejections_Shape_1	S106_vsl_dprime
       9.254	          12	          P3	          27	   Correct_Rejections_Shape_1	S106_vsl_dprime
       5.534	          13	          P7	          27	   Correct_Rejections_Shape_1	S106_vsl_dprime
       4.389	          14	          O1	          27	   Correct_Rejections_Shape_1	S106_vsl_dprime
       5.446	          15	          O2	          27	   Correct_Rejections_Shape_1	S106_vsl_dprime
       9.713	          16	          P4	          27	   Correct_Rejections_Shape_1	S106_vsl_dprime
       4.730	          17	          P8	          27	   Correct_Rejections_Shape_1	S106_vsl_dprime
       8.106	          18	         CP6	          27	   Correct_Rejections_Shape_1	S106_vsl_dprime
      10.871	          19	         CP2	          27	   Correct_Rejections_Shape_1	S106_vsl_dprime
       8.762	          20	          CZ	          27	   Correct_Rejections_Shape_1	S106_vsl_dprime
       9.018	          21	          C4	          27	   Correct_Rejections_Shape_1	S106_vsl_dprime
       3.234	          22	          T8	          27	   Correct_Rejections_Shape_1	S106_vsl_dprime
       5.038	          23	         FC6	          27	   Correct_Rejections_Shape_1	S106_vsl_dprime
       7.596	          24	         FC2	          27	   Correct_Rejections_Shape_1	S106_vsl_dprime
       4.464	          25	          F4	          27	   Correct_Rejections_Shape_1	S106_vsl_dprime
       4.088	          26	          F8	          27	   Correct_Rejections_Shape_1	S106_vsl_dprime
       4.825	          27	         FP2	          27	   Correct_Rejections_Shape_1	S106_vsl_dprime
     -14.883	           1	         FP1	          28	         False_Alarms_Shape_1	S106_vsl_dprime
       3.654	           2	          Fz	          28	         False_Alarms_Shape_1	S106_vsl_dprime
       3.938	           3	          F3	          28	         False_Alarms_Shape_1	S106_vsl_dprime
       0.831	           4	          F7	          28	         False_Alarms_Shape_1	S106_vsl_dprime
       6.147	           5	         FC5	          28	         False_Alarms_Shape_1	S106_vsl_dprime
       9.125	           6	         FC1	          28	         False_Alarms_Shape_1	S106_vsl_dprime
      10.946	           7	          C3	          28	         False_Alarms_Shape_1	S106_vsl_dprime
       4.022	           8	          T7	          28	         False_Alarms_Shape_1	S106_vsl_dprime
       7.376	           9	         CP5	          28	         False_Alarms_Shape_1	S106_vsl_dprime
      10.071	          10	         CP1	          28	         False_Alarms_Shape_1	S106_vsl_dprime
       8.473	          11	          Pz	          28	         False_Alarms_Shape_1	S106_vsl_dprime
       8.662	          12	          P3	          28	         False_Alarms_Shape_1	S106_vsl_dprime
       5.821	          13	          P7	          28	         False_Alarms_Shape_1	S106_vsl_dprime
       7.637	          14	          O1	          28	         False_Alarms_Shape_1	S106_vsl_dprime
       9.723	          15	          O2	          28	         False_Alarms_Shape_1	S106_vsl_dprime
      11.571	          16	          P4	          28	         False_Alarms_Shape_1	S106_vsl_dprime
       9.777	          17	          P8	          28	         False_Alarms_Shape_1	S106_vsl_dprime
       9.719	          18	         CP6	          28	         False_Alarms_Shape_1	S106_vsl_dprime
      12.526	          19	         CP2	          28	         False_Alarms_Shape_1	S106_vsl_dprime
       9.343	          20	          CZ	          28	         False_Alarms_Shape_1	S106_vsl_dprime
       9.648	          21	          C4	          28	         False_Alarms_Shape_1	S106_vsl_dprime
       3.257	          22	          T8	          28	         False_Alarms_Shape_1	S106_vsl_dprime
       4.138	          23	         FC6	          28	         False_Alarms_Shape_1	S106_vsl_dprime
       7.460	          24	         FC2	          28	         False_Alarms_Shape_1	S106_vsl_dprime
       5.891	          25	          F4	          28	         False_Alarms_Shape_1	S106_vsl_dprime
       0.692	          26	          F8	          28	         False_Alarms_Shape_1	S106_vsl_dprime
      -0.489	          27	         FP2	          28	         False_Alarms_Shape_1	S106_vsl_dprime
       2.065	           1	         FP1	          29	                 Hits_Shape_2	S106_vsl_dprime
       3.178	           2	          Fz	          29	                 Hits_Shape_2	S106_vsl_dprime
       2.641	           3	          F3	          29	                 Hits_Shape_2	S106_vsl_dprime
      -1.476	           4	          F7	          29	                 Hits_Shape_2	S106_vsl_dprime
       1.028	           5	         FC5	          29	                 Hits_Shape_2	S106_vsl_dprime
       6.036	           6	         FC1	          29	                 Hits_Shape_2	S106_vsl_dprime
       6.667	           7	          C3	          29	                 Hits_Shape_2	S106_vsl_dprime
      -0.107	           8	          T7	          29	                 Hits_Shape_2	S106_vsl_dprime
       5.079	           9	         CP5	          29	                 Hits_Shape_2	S106_vsl_dprime
       9.544	          10	         CP1	          29	                 Hits_Shape_2	S106_vsl_dprime
       9.051	          11	          Pz	          29	                 Hits_Shape_2	S106_vsl_dprime
       7.607	          12	          P3	          29	                 Hits_Shape_2	S106_vsl_dprime
       2.921	          13	          P7	          29	                 Hits_Shape_2	S106_vsl_dprime
       5.151	          14	          O1	          29	                 Hits_Shape_2	S106_vsl_dprime
       5.442	          15	          O2	          29	                 Hits_Shape_2	S106_vsl_dprime
       9.064	          16	          P4	          29	                 Hits_Shape_2	S106_vsl_dprime
       5.108	          17	          P8	          29	                 Hits_Shape_2	S106_vsl_dprime
       6.392	          18	         CP6	          29	                 Hits_Shape_2	S106_vsl_dprime
      10.623	          19	         CP2	          29	                 Hits_Shape_2	S106_vsl_dprime
       9.087	          20	          CZ	          29	                 Hits_Shape_2	S106_vsl_dprime
       9.297	          21	          C4	          29	                 Hits_Shape_2	S106_vsl_dprime
       0.816	          22	          T8	          29	                 Hits_Shape_2	S106_vsl_dprime
       3.340	          23	         FC6	          29	                 Hits_Shape_2	S106_vsl_dprime
       6.490	          24	         FC2	          29	                 Hits_Shape_2	S106_vsl_dprime
       0.253	          25	          F4	          29	                 Hits_Shape_2	S106_vsl_dprime
       0.859	          26	          F8	          29	                 Hits_Shape_2	S106_vsl_dprime
       2.919	          27	         FP2	          29	                 Hits_Shape_2	S106_vsl_dprime
       6.947	           1	         FP1	          30	               Misses_Shape_2	S106_vsl_dprime
       9.312	           2	          Fz	          30	               Misses_Shape_2	S106_vsl_dprime
      11.319	           3	          F3	          30	               Misses_Shape_2	S106_vsl_dprime
       5.335	           4	          F7	          30	               Misses_Shape_2	S106_vsl_dprime
       6.922	           5	         FC5	          30	               Misses_Shape_2	S106_vsl_dprime
      10.602	           6	         FC1	          30	               Misses_Shape_2	S106_vsl_dprime
      10.517	           7	          C3	          30	               Misses_Shape_2	S106_vsl_dprime
       4.800	           8	          T7	          30	               Misses_Shape_2	S106_vsl_dprime
       6.195	           9	         CP5	          30	               Misses_Shape_2	S106_vsl_dprime
       9.203	          10	         CP1	          30	               Misses_Shape_2	S106_vsl_dprime
       5.450	          11	          Pz	          30	               Misses_Shape_2	S106_vsl_dprime
       6.343	          12	          P3	          30	               Misses_Shape_2	S106_vsl_dprime
       5.177	          13	          P7	          30	               Misses_Shape_2	S106_vsl_dprime
       2.857	          14	          O1	          30	               Misses_Shape_2	S106_vsl_dprime
       1.843	          15	          O2	          30	               Misses_Shape_2	S106_vsl_dprime
