mlabel,value,chindex,chlabel,bini,binlabel,SubjID
n400,-3.721,1,FP1,1,Critical_word_small_family,S14_erp
n400,-5.221,2,Fz,1,Critical_word_small_family,S14_erp
n400,-4.330,3,F3,1,Critical_word_small_family,S14_erp
n400,-2.623,4,F7,1,Critical_word_small_family,S14_erp
n400,-2.377,5,FC5,1,Critical_word_small_family,S14_erp
n400,-5.518,6,FC1,1,Critical_word_small_family,S14_erp
n400,-2.848,7,C3,1,Critical_word_small_family,S14_erp
n400,-1.970,8,T7,1,Critical_word_small_family,S14_erp
n400,-1.281,9,CP5,1,Critical_word_small_family,S14_erp
n400,-3.067,10,CP1,1,Critical_word_small_family,S14_erp
n400,-1.824,11,Pz,1,Critical_word_small_family,S14_erp
n400,0.394,12,P3,1,Critical_word_small_family,S14_erp
n400,1.080,13,P7,1,Critical_word_small_family,S14_erp
n400,2.126,14,O1,1,Critical_word_small_family,S14_erp
n400,1.896,15,O2,1,Critical_word_small_family,S14_erp
n400,0.957,16,P4,1,Critical_word_small_family,S14_erp
n400,3.096,17,P8,1,Critical_word_small_family,S14_erp
n400,-0.442,18,CP6,1,Critical_word_small_family,S14_erp
n400,-3.103,19,CP2,1,Critical_word_small_family,S14_erp
n400,-5.796,20,CZ,1,Critical_word_small_family,S14_erp
n400,-3.731,21,C4,1,Critical_word_small_family,S14_erp
n400,-2.161,22,T8,1,Critical_word_small_family,S14_erp
n400,-3.194,23,FC6,1,Critical_word_small_family,S14_erp
n400,-5.617,24,FC2,1,Critical_word_small_family,S14_erp
n400,-5.378,25,F4,1,Critical_word_small_family,S14_erp
n400,-4.366,26,F8,1,Critical_word_small_family,S14_erp
n400,-6.611,1,FP1,2,Critical_word_large_family,S14_erp
n400,-6.751,2,Fz,2,Critical_word_large_family,S14_erp
n400,-6.358,3,F3,2,Critical_word_large_family,S14_erp
n400,-6.266,4,F7,2,Critical_word_large_family,S14_erp
n400,-5.522,5,FC5,2,Critical_word_large_family,S14_erp
n400,-7.714,6,FC1,2,Critical_word_large_family,S14_erp
n400,-5.543,7,C3,2,Critical_word_large_family,S14_erp
n400,-4.517,8,T7,2,Critical_word_large_family,S14_erp
n400,-3.006,9,CP5,2,Critical_word_large_family,S14_erp
n400,-4.851,10,CP1,2,Critical_word_large_family,S14_erp
n400,-2.654,11,Pz,2,Critical_word_large_family,S14_erp
n400,-0.898,12,P3,2,Critical_word_large_family,S14_erp
n400,1.546,13,P7,2,Critical_word_large_family,S14_erp
n400,2.569,14,O1,2,Critical_word_large_family,S14_erp
n400,3.225,15,O2,2,Critical_word_large_family,S14_erp
n400,1.322,16,P4,2,Critical_word_large_family,S14_erp
n400,3.814,17,P8,2,Critical_word_large_family,S14_erp
n400,0.198,18,CP6,2,Critical_word_large_family,S14_erp
n400,-4.932,19,CP2,2,Critical_word_large_family,S14_erp
n400,-9.633,20,CZ,2,Critical_word_large_family,S14_erp
n400,-5.083,21,C4,2,Critical_word_large_family,S14_erp
n400,-1.337,22,T8,2,Critical_word_large_family,S14_erp
n400,-2.405,23,FC6,2,Critical_word_large_family,S14_erp
n400,-7.476,24,FC2,2,Critical_word_large_family,S14_erp
n400,-4.961,25,F4,2,Critical_word_large_family,S14_erp
n400,-3.841,26,F8,2,Critical_word_large_family,S14_erp
n400,-4.228,1,FP1,3,nonword_small_complex,S14_erp
n400,-8.306,2,Fz,3,nonword_small_complex,S14_erp
n400,-6.724,3,F3,3,nonword_small_complex,S14_erp
n400,-3.336,4,F7,3,nonword_small_complex,S14_erp
n400,-4.239,5,FC5,3,nonword_small_complex,S14_erp
n400,-9.139,6,FC1,3,nonword_small_complex,S14_erp
n400,-7.089,7,C3,3,nonword_small_complex,S14_erp
n400,-2.808,8,T7,3,nonword_small_complex,S14_erp
n400,-3.409,9,CP5,3,nonword_small_complex,S14_erp
n400,-7.557,10,CP1,3,nonword_small_complex,S14_erp
n400,-6.241,11,Pz,3,nonword_small_complex,S14_erp
n400,-3.691,12,P3,3,nonword_small_complex,S14_erp
n400,0.652,13,P7,3,nonword_small_complex,S14_erp
n400,-0.084,14,O1,3,nonword_small_complex,S14_erp
n400,0.361,15,O2,3,nonword_small_complex,S14_erp
n400,-2.262,16,P4,3,nonword_small_complex,S14_erp
n400,1.671,17,P8,3,nonword_small_complex,S14_erp
n400,-4.344,18,CP6,3,nonword_small_complex,S14_erp
n400,-7.945,19,CP2,3,nonword_small_complex,S14_erp
n400,-12.018,20,CZ,3,nonword_small_complex,S14_erp
n400,-8.841,21,C4,3,nonword_small_complex,S14_erp
n400,-4.397,22,T8,3,nonword_small_complex,S14_erp
n400,-5.908,23,FC6,3,nonword_small_complex,S14_erp
n400,-10.062,24,FC2,3,nonword_small_complex,S14_erp
n400,-8.904,25,F4,3,nonword_small_complex,S14_erp
n400,-4.528,26,F8,3,nonword_small_complex,S14_erp
n400,-1.105,1,FP1,4,nonword_large_complex,S14_erp
n400,-3.743,2,Fz,4,nonword_large_complex,S14_erp
n400,-2.144,3,F3,4,nonword_large_complex,S14_erp
n400,-1.687,4,F7,4,nonword_large_complex,S14_erp
n400,-1.697,5,FC5,4,nonword_large_complex,S14_erp
n400,-4.569,6,FC1,4,nonword_large_complex,S14_erp
n400,-1.508,7,C3,4,nonword_large_complex,S14_erp
n400,-0.562,8,T7,4,nonword_large_complex,S14_erp
n400,0.642,9,CP5,4,nonword_large_complex,S14_erp
n400,-1.351,10,CP1,4,nonword_large_complex,S14_erp
n400,1.039,11,Pz,4,nonword_large_complex,S14_erp
n400,1.705,12,P3,4,nonword_large_complex,S14_erp
n400,5.301,13,P7,4,nonword_large_complex,S14_erp
n400,5.797,14,O1,4,nonword_large_complex,S14_erp
n400,5.904,15,O2,4,nonword_large_complex,S14_erp
n400,5.163,16,P4,4,nonword_large_complex,S14_erp
n400,7.185,17,P8,4,nonword_large_complex,S14_erp
n400,2.333,18,CP6,4,nonword_large_complex,S14_erp
n400,-0.528,19,CP2,4,nonword_large_complex,S14_erp
n400,-4.050,20,CZ,4,nonword_large_complex,S14_erp
n400,-1.122,21,C4,4,nonword_large_complex,S14_erp
n400,1.127,22,T8,4,nonword_large_complex,S14_erp
n400,0.045,23,FC6,4,nonword_large_complex,S14_erp
n400,-3.210,24,FC2,4,nonword_large_complex,S14_erp
n400,-1.242,25,F4,4,nonword_large_complex,S14_erp
n400,0.329,26,F8,4,nonword_large_complex,S14_erp
n400,-8.278,1,FP1,5,nonword_small_simple,S14_erp
n400,-5.949,2,Fz,5,nonword_small_simple,S14_erp
n400,-6.146,3,F3,5,nonword_small_simple,S14_erp
n400,-7.014,4,F7,5,nonword_small_simple,S14_erp
n400,-5.363,5,FC5,5,nonword_small_simple,S14_erp
n400,-5.796,6,FC1,5,nonword_small_simple,S14_erp
n400,-3.019,7,C3,5,nonword_small_simple,S14_erp
n400,-3.948,8,T7,5,nonword_small_simple,S14_erp
n400,-0.901,9,CP5,5,nonword_small_simple,S14_erp
n400,-1.098,10,CP1,5,nonword_small_simple,S14_erp
n400,1.056,11,Pz,5,nonword_small_simple,S14_erp
n400,2.212,12,P3,5,nonword_small_simple,S14_erp
n400,3.602,13,P7,5,nonword_small_simple,S14_erp
n400,4.866,14,O1,5,nonword_small_simple,S14_erp
n400,4.236,15,O2,5,nonword_small_simple,S14_erp
n400,2.554,16,P4,5,nonword_small_simple,S14_erp
n400,3.914,17,P8,5,nonword_small_simple,S14_erp
n400,-0.432,18,CP6,5,nonword_small_simple,S14_erp
n400,-1.223,19,CP2,5,nonword_small_simple,S14_erp
n400,-5.189,20,CZ,5,nonword_small_simple,S14_erp
n400,-3.346,21,C4,5,nonword_small_simple,S14_erp
n400,-2.802,22,T8,5,nonword_small_simple,S14_erp
n400,-4.232,23,FC6,5,nonword_small_simple,S14_erp
n400,-5.432,24,FC2,5,nonword_small_simple,S14_erp
n400,-4.499,25,F4,5,nonword_small_simple,S14_erp
n400,-4.107,26,F8,5,nonword_small_simple,S14_erp
n400,-9.759,1,FP1,6,nonword_large_simple,S14_erp
n400,-10.468,2,Fz,6,nonword_large_simple,S14_erp
n400,-9.153,3,F3,6,nonword_large_simple,S14_erp
n400,-8.157,4,F7,6,nonword_large_simple,S14_erp
n400,-8.309,5,FC5,6,nonword_large_simple,S14_erp
n400,-12.311,6,FC1,6,nonword_large_simple,S14_erp
n400,-8.694,7,C3,6,nonword_large_simple,S14_erp
n400,-7.717,8,T7,6,nonword_large_simple,S14_erp
n400,-6.418,9,CP5,6,nonword_large_simple,S14_erp
n400,-8.345,10,CP1,6,nonword_large_simple,S14_erp
n400,-5.760,11,Pz,6,nonword_large_simple,S14_erp
n400,-3.649,12,P3,6,nonword_large_simple,S14_erp
n400,1.130,13,P7,6,nonword_large_simple,S14_erp
n400,1.527,14,O1,6,nonword_large_simple,S14_erp
n400,1.424,15,O2,6,nonword_large_simple,S14_erp
n400,-3.018,16,P4,6,nonword_large_simple,S14_erp
n400,1.239,17,P8,6,nonword_large_simple,S14_erp
n400,-3.551,18,CP6,6,nonword_large_simple,S14_erp
n400,-8.807,19,CP2,6,nonword_large_simple,S14_erp
n400,-13.388,20,CZ,6,nonword_large_simple,S14_erp
n400,-9.032,21,C4,6,nonword_large_simple,S14_erp
n400,-4.309,22,T8,6,nonword_large_simple,S14_erp
n400,-7.215,23,FC6,6,nonword_large_simple,S14_erp
n400,-11.086,24,FC2,6,nonword_large_simple,S14_erp
n400,-7.380,25,F4,6,nonword_large_simple,S14_erp
n400,-5.842,26,F8,6,nonword_large_simple,S14_erp
n400,0.615,1,FP1,1,Critical_word_small_family,S101_erp
n400,-0.710,2,Fz,1,Critical_word_small_family,S101_erp
n400,-0.428,3,F3,1,Critical_word_small_family,S101_erp
n400,2.916,4,F7,1,Critical_word_small_family,S101_erp
n400,0.929,5,FC5,1,Critical_word_small_family,S101_erp
n400,-0.673,6,FC1,1,Critical_word_small_family,S101_erp
n400,0.781,7,C3,1,Critical_word_small_family,S101_erp
n400,-0.538,8,T7,1,Critical_word_small_family,S101_erp
n400,-0.728,9,CP5,1,Critical_word_small_family,S101_erp
n400,2.850,10,CP1,1,Critical_word_small_family,S101_erp
n400,3.533,11,Pz,1,Critical_word_small_family,S101_erp
n400,1.535,12,P3,1,Critical_word_small_family,S101_erp
n400,-5.045,13,P7,1,Critical_word_small_family,S101_erp
n400,-2.166,14,O1,1,Critical_word_small_family,S101_erp
n400,-1.561,15,O2,1,Critical_word_small_family,S101_erp
n400,2.561,16,P4,1,Critical_word_small_family,S101_erp
n400,-2.649,17,P8,1,Critical_word_small_family,S101_erp
n400,0.733,18,CP6,1,Critical_word_small_family,S101_erp
n400,3.106,19,CP2,1,Critical_word_small_family,S101_erp
n400,1.597,20,CZ,1,Critical_word_small_family,S101_erp
n400,1.667,21,C4,1,Critical_word_small_family,S101_erp
n400,3.041,22,T8,1,Critical_word_small_family,S101_erp
n400,1.786,23,FC6,1,Critical_word_small_family,S101_erp
n400,-0.037,24,FC2,1,Critical_word_small_family,S101_erp
n400,0.693,25,F4,1,Critical_word_small_family,S101_erp
n400,1.837,26,F8,1,Critical_word_small_family,S101_erp
n400,0.000,1,FP1,2,Critical_word_large_family,S101_erp
n400,0.000,2,Fz,2,Critical_word_large_family,S101_erp
n400,0.000,3,F3,2,Critical_word_large_family,S101_erp
n400,0.000,4,F7,2,Critical_word_large_family,S101_erp
n400,0.000,5,FC5,2,Critical_word_large_family,S101_erp
n400,0.000,6,FC1,2,Critical_word_large_family,S101_erp
n400,0.000,7,C3,2,Critical_word_large_family,S101_erp
n400,0.000,8,T7,2,Critical_word_large_family,S101_erp
n400,0.000,9,CP5,2,Critical_word_large_family,S101_erp
n400,0.000,10,CP1,2,Critical_word_large_family,S101_erp
n400,0.000,11,Pz,2,Critical_word_large_family,S101_erp
n400,0.000,12,P3,2,Critical_word_large_family,S101_erp
n400,0.000,13,P7,2,Critical_word_large_family,S101_erp
n400,0.000,14,O1,2,Critical_word_large_family,S101_erp
n400,0.000,15,O2,2,Critical_word_large_family,S101_erp
n400,0.000,16,P4,2,Critical_word_large_family,S101_erp
n400,0.000,17,P8,2,Critical_word_large_family,S101_erp
n400,0.000,18,CP6,2,Critical_word_large_family,S101_erp
n400,0.000,19,CP2,2,Critical_word_large_family,S101_erp
n400,0.000,20,CZ,2,Critical_word_large_family,S101_erp
n400,0.000,21,C4,2,Critical_word_large_family,S101_erp
n400,0.000,22,T8,2,Critical_word_large_family,S101_erp
n400,0.000,23,FC6,2,Critical_word_large_family,S101_erp
n400,0.000,24,FC2,2,Critical_word_large_family,S101_erp
n400,0.000,25,F4,2,Critical_word_large_family,S101_erp
n400,0.000,26,F8,2,Critical_word_large_family,S101_erp
n400,0.000,1,FP1,3,nonword_small_complex,S101_erp
n400,0.000,2,Fz,3,nonword_small_complex,S101_erp
n400,0.000,3,F3,3,nonword_small_complex,S101_erp
n400,0.000,4,F7,3,nonword_small_complex,S101_erp
n400,0.000,5,FC5,3,nonword_small_complex,S101_erp
n400,0.000,6,FC1,3,nonword_small_complex,S101_erp
n400,0.000,7,C3,3,nonword_small_complex,S101_erp
n400,0.000,8,T7,3,nonword_small_complex,S101_erp
n400,0.000,9,CP5,3,nonword_small_complex,S101_erp
n400,0.000,10,CP1,3,nonword_small_complex,S101_erp
n400,0.000,11,Pz,3,nonword_small_complex,S101_erp
n400,0.000,12,P3,3,nonword_small_complex,S101_erp
n400,0.000,13,P7,3,nonword_small_complex,S101_erp
n400,0.000,14,O1,3,nonword_small_complex,S101_erp
n400,0.000,15,O2,3,nonword_small_complex,S101_erp
n400,0.000,16,P4,3,nonword_small_complex,S101_erp
n400,0.000,17,P8,3,nonword_small_complex,S101_erp
n400,0.000,18,CP6,3,nonword_small_complex,S101_erp
n400,0.000,19,CP2,3,nonword_small_complex,S101_erp
n400,0.000,20,CZ,3,nonword_small_complex,S101_erp
n400,0.000,21,C4,3,nonword_small_complex,S101_erp
n400,0.000,22,T8,3,nonword_small_complex,S101_erp
n400,0.000,23,FC6,3,nonword_small_complex,S101_erp
n400,0.000,24,FC2,3,nonword_small_complex,S101_erp
n400,0.000,25,F4,3,nonword_small_complex,S101_erp
n400,0.000,26,F8,3,nonword_small_complex,S101_erp
n400,0.000,1,FP1,4,nonword_large_complex,S101_erp
n400,0.000,2,Fz,4,nonword_large_complex,S101_erp
n400,0.000,3,F3,4,nonword_large_complex,S101_erp
n400,0.000,4,F7,4,nonword_large_complex,S101_erp
n400,0.000,5,FC5,4,nonword_large_complex,S101_erp
n400,0.000,6,FC1,4,nonword_large_complex,S101_erp
n400,0.000,7,C3,4,nonword_large_complex,S101_erp
n400,0.000,8,T7,4,nonword_large_complex,S101_erp
n400,0.000,9,CP5,4,nonword_large_complex,S101_erp
n400,0.000,10,CP1,4,nonword_large_complex,S101_erp
n400,0.000,11,Pz,4,nonword_large_complex,S101_erp
n400,0.000,12,P3,4,nonword_large_complex,S101_erp
n400,0.000,13,P7,4,nonword_large_complex,S101_erp
n400,0.000,14,O1,4,nonword_large_complex,S101_erp
n400,0.000,15,O2,4,nonword_large_complex,S101_erp
n400,0.000,16,P4,4,nonword_large_complex,S101_erp
n400,0.000,17,P8,4,nonword_large_complex,S101_erp
n400,0.000,18,CP6,4,nonword_large_complex,S101_erp
n400,0.000,19,CP2,4,nonword_large_complex,S101_erp
n400,0.000,20,CZ,4,nonword_large_complex,S101_erp
n400,0.000,21,C4,4,nonword_large_complex,S101_erp
n400,0.000,22,T8,4,nonword_large_complex,S101_erp
n400,0.000,23,FC6,4,nonword_large_complex,S101_erp
n400,0.000,24,FC2,4,nonword_large_complex,S101_erp
n400,0.000,25,F4,4,nonword_large_complex,S101_erp
n400,0.000,26,F8,4,nonword_large_complex,S101_erp
n400,0.000,1,FP1,5,nonword_small_simple,S101_erp
n400,0.000,2,Fz,5,nonword_small_simple,S101_erp
n400,0.000,3,F3,5,nonword_small_simple,S101_erp
n400,0.000,4,F7,5,nonword_small_simple,S101_erp
n400,0.000,5,FC5,5,nonword_small_simple,S101_erp
n400,0.000,6,FC1,5,nonword_small_simple,S101_erp
n400,0.000,7,C3,5,nonword_small_simple,S101_erp
n400,0.000,8,T7,5,nonword_small_simple,S101_erp
n400,0.000,9,CP5,5,nonword_small_simple,S101_erp
n400,0.000,10,CP1,5,nonword_small_simple,S101_erp
n400,0.000,11,Pz,5,nonword_small_simple,S101_erp
n400,0.000,12,P3,5,nonword_small_simple,S101_erp
n400,0.000,13,P7,5,nonword_small_simple,S101_erp
n400,0.000,14,O1,5,nonword_small_simple,S101_erp
n400,0.000,15,O2,5,nonword_small_simple,S101_erp
n400,0.000,16,P4,5,nonword_small_simple,S101_erp
n400,0.000,17,P8,5,nonword_small_simple,S101_erp
n400,0.000,18,CP6,5,nonword_small_simple,S101_erp
n400,0.000,19,CP2,5,nonword_small_simple,S101_erp
n400,0.000,20,CZ,5,nonword_small_simple,S101_erp
n400,0.000,21,C4,5,nonword_small_simple,S101_erp
n400,0.000,22,T8,5,nonword_small_simple,S101_erp
n400,0.000,23,FC6,5,nonword_small_simple,S101_erp
n400,0.000,24,FC2,5,nonword_small_simple,S101_erp
n400,0.000,25,F4,5,nonword_small_simple,S101_erp
n400,0.000,26,F8,5,nonword_small_simple,S101_erp
n400,0.000,1,FP1,6,nonword_large_simple,S101_erp
n400,0.000,2,Fz,6,nonword_large_simple,S101_erp
n400,0.000,3,F3,6,nonword_large_simple,S101_erp
n400,0.000,4,F7,6,nonword_large_simple,S101_erp
n400,0.000,5,FC5,6,nonword_large_simple,S101_erp
n400,0.000,6,FC1,6,nonword_large_simple,S101_erp
n400,0.000,7,C3,6,nonword_large_simple,S101_erp
n400,0.000,8,T7,6,nonword_large_simple,S101_erp
n400,0.000,9,CP5,6,nonword_large_simple,S101_erp
n400,0.000,10,CP1,6,nonword_large_simple,S101_erp
n400,0.000,11,Pz,6,nonword_large_simple,S101_erp
n400,0.000,12,P3,6,nonword_large_simple,S101_erp
n400,0.000,13,P7,6,nonword_large_simple,S101_erp
n400,0.000,14,O1,6,nonword_large_simple,S101_erp
n400,0.000,15,O2,6,nonword_large_simple,S101_erp
n400,0.000,16,P4,6,nonword_large_simple,S101_erp
n400,0.000,17,P8,6,nonword_large_simple,S101_erp
n400,0.000,18,CP6,6,nonword_large_simple,S101_erp
n400,0.000,19,CP2,6,nonword_large_simple,S101_erp
n400,0.000,20,CZ,6,nonword_large_simple,S101_erp
n400,0.000,21,C4,6,nonword_large_simple,S101_erp
n400,0.000,22,T8,6,nonword_large_simple,S101_erp
n400,0.000,23,FC6,6,nonword_large_simple,S101_erp
n400,0.000,24,FC2,6,nonword_large_simple,S101_erp
n400,0.000,25,F4,6,nonword_large_simple,S101_erp
n400,0.000,26,F8,6,nonword_large_simple,S101_erp
n400,0.528,1,FP1,1,Critical_word_small_family,S104_erp
n400,-2.394,2,Fz,1,Critical_word_small_family,S104_erp
n400,-2.220,3,F3,1,Critical_word_small_family,S104_erp
n400,1.026,4,F7,1,Critical_word_small_family,S104_erp
n400,-0.661,5,FC5,1,Critical_word_small_family,S104_erp
n400,-3.649,6,FC1,1,Critical_word_small_family,S104_erp
n400,-1.756,7,C3,1,Critical_word_small_family,S104_erp
n400,-0.742,8,T7,1,Critical_word_small_family,S104_erp
n400,-1.585,9,CP5,1,Critical_word_small_family,S104_erp
n400,-0.672,10,CP1,1,Critical_word_small_family,S104_erp
n400,0.788,11,Pz,1,Critical_word_small_family,S104_erp
n400,-1.453,12,P3,1,Critical_word_small_family,S104_erp
n400,-4.173,13,P7,1,Critical_word_small_family,S104_erp
n400,-6.687,14,O1,1,Critical_word_small_family,S104_erp
n400,-3.541,15,O2,1,Critical_word_small_family,S104_erp
n400,0.723,16,P4,1,Critical_word_small_family,S104_erp
n400,-0.829,17,P8,1,Critical_word_small_family,S104_erp
n400,-0.868,18,CP6,1,Critical_word_small_family,S104_erp
n400,-0.451,19,CP2,1,Critical_word_small_family,S104_erp
n400,-2.144,20,CZ,1,Critical_word_small_family,S104_erp
n400,-1.962,21,C4,1,Critical_word_small_family,S104_erp
n400,-0.351,22,T8,1,Critical_word_small_family,S104_erp
n400,-0.912,23,FC6,1,Critical_word_small_family,S104_erp
n400,-2.574,24,FC2,1,Critical_word_small_family,S104_erp
n400,-1.924,25,F4,1,Critical_word_small_family,S104_erp
n400,0.084,26,F8,1,Critical_word_small_family,S104_erp
n400,1.051,1,FP1,2,Critical_word_large_family,S104_erp
n400,-2.701,2,Fz,2,Critical_word_large_family,S104_erp
n400,-2.457,3,F3,2,Critical_word_large_family,S104_erp
n400,1.537,4,F7,2,Critical_word_large_family,S104_erp
n400,-0.019,5,FC5,2,Critical_word_large_family,S104_erp
n400,-1.823,6,FC1,2,Critical_word_large_family,S104_erp
n400,-0.777,7,C3,2,Critical_word_large_family,S104_erp
n400,0.075,8,T7,2,Critical_word_large_family,S104_erp
n400,-1.168,9,CP5,2,Critical_word_large_family,S104_erp
n400,-0.246,10,CP1,2,Critical_word_large_family,S104_erp
n400,1.798,11,Pz,2,Critical_word_large_family,S104_erp
n400,-0.640,12,P3,2,Critical_word_large_family,S104_erp
n400,-2.325,13,P7,2,Critical_word_large_family,S104_erp
n400,-5.347,14,O1,2,Critical_word_large_family,S104_erp
n400,-2.455,15,O2,2,Critical_word_large_family,S104_erp
n400,1.812,16,P4,2,Critical_word_large_family,S104_erp
n400,0.829,17,P8,2,Critical_word_large_family,S104_erp
n400,0.082,18,CP6,2,Critical_word_large_family,S104_erp
n400,0.410,19,CP2,2,Critical_word_large_family,S104_erp
n400,-0.944,20,CZ,2,Critical_word_large_family,S104_erp
